Date,Open,High,Low,Close,Adj Close,Volume
10/20/1987,18.090187,18.090187,10.552609,15.075156,9.477009,5020500
10/21/1987,16.507296,16.733423,14.170647,14.886717,9.358549,4550500
10/22/1987,11.909373,13.416889,11.796309,13.190762,8.292386,7605800
10/23/1987,12.663132,13.115386,12.135501,13.077698,8.221304,3306700
10/26/1987,11.909373,11.947062,10.854113,10.854113,6.823448,3890800
10/27/1987,12.210876,12.361629,11.08024,11.60787,7.297294,3721300
10/28/1987,10.703361,12.361629,10.703361,12.361629,7.771148,4048700
10/29/1987,13.04001,14.208335,12.663132,13.416889,8.434535,3742500
10/30/1987,14.321399,14.396774,13.906832,14.095271,8.861,4056900
11/2/1987,13.718392,14.47215,13.605329,13.605329,8.552999,2106000
11/3/1987,12.889258,13.341514,12.361629,13.002322,8.173917,2177400
11/4/1987,12.776195,13.793768,12.738507,13.416889,8.434535,2368700
11/5/1987,13.266137,14.28371,13.266137,13.869143,8.718844,2623800
11/6/1987,13.56764,13.718392,13.22845,13.341514,8.387148,1824800
11/9/1987,12.813883,13.492265,12.437004,12.587755,7.9133,2301400
11/10/1987,12.286252,12.738507,11.984749,12.210876,7.676379,2157800
11/11/1987,12.700819,12.813883,11.984749,12.060125,7.581604,1996600
11/12/1987,12.964634,13.341514,12.813883,13.04001,8.197614,2769100
11/13/1987,13.077698,13.266137,12.663132,12.851571,8.079151,1703100
11/16/1987,13.266137,13.416889,12.587755,12.889258,8.102844,1658600
11/17/1987,12.437004,12.813883,12.286252,12.813883,8.05546,2177400
11/18/1987,12.889258,13.002322,12.399316,12.926947,8.126535,1680200
11/19/1987,12.663132,12.926947,12.210876,12.286252,7.723762,1408600
11/20/1987,11.758622,12.889258,11.532495,12.889258,8.102844,2468600
11/23/1987,12.889258,13.266137,12.813883,13.115386,8.245001,2461600
11/24/1987,13.416889,13.75608,13.341514,13.492265,8.48192,3648300
11/25/1987,13.416889,13.643017,13.303825,13.303825,8.363463,1558100
11/27/1987,13.153074,13.266137,12.663132,12.700819,7.984384,696800
11/30/1987,12.173188,12.361629,11.60787,12.210876,7.676379,2554800
12/1/1987,12.587755,12.663132,12.286252,12.399316,7.794841,1699400
12/2/1987,12.51238,13.416889,12.361629,12.700819,7.984384,1061600
12/3/1987,12.663132,12.663132,12.135501,12.135501,7.628992,1806900
